curriculum_id,author_id,author_name,work_title,priority,werk_kategorie,anna_archive_likely,best_md5,best_asset_title,match_score,coverage_status
auth_uljana_daitche::tore_der_sexualit_t,auth_uljana_daitche,Uljana Daitche,Tore der Sexualität,medium,B,true,f17cb1c8603fb6e1e64a5603c04d5a88,"Handbuch über die Kenntnis, Erzeugung, Behandlung und Verrechnung der Gewehre und Munition sowie über das Scheibenschießen bei den k. k. österreichischen Linien-Infanterie-Regimentern",0.750,found_candidate
auth_uljana_daitche::human_design_in_der_schwangerschaft_die_10_phasen_der_entstehung,auth_uljana_daitche,Uljana Daitche,Human Design in der Schwangerschaft — die 10 Phasen der Entstehung,low,B,true,,"Handbuch über die Kenntnis, Erzeugung, Behandlung und Verrechnung der Gewehre und Munition sowie über das Scheibenschießen bei den k. k. österreichischen Linien-Infanterie-Regimentern",0.400,not_found
auth_uljana_daitche::2027_human_design_und_das_ende_der_alten_welt,auth_uljana_daitche,Uljana Daitche,2027: Human Design und das Ende der alten Welt,low,A,true,,Das große Franzis Handbuch für Windows 8,0.500,not_found
auth_uljana_daitche::impulse_f_r_die_384_linien_im_human_design,auth_uljana_daitche,Uljana Daitche,Impulse für die 384 Linien im Human Design,medium,B,true,f17cb1c8603fb6e1e64a5603c04d5a88,"Handbuch über die Kenntnis, Erzeugung, Behandlung und Verrechnung der Gewehre und Munition sowie über das Scheibenschießen bei den k. k. österreichischen Linien-Infanterie-Regimentern",0.800,found_candidate
auth_richard_rudd::the_gene_keys_embracing_your_higher_purpose,auth_richard_rudd,Richard Rudd,The Gene Keys: Embracing Your Higher Purpose,high,B,true,3c95e8121ecf7e508e7ae4f71957236d,Human Design,1.000,found_candidate
auth_richard_rudd::human_design_the_revelation,auth_richard_rudd,Richard Rudd,Human Design: The Revelation,high,A,true,d3c91994edc8c417c5d4430e5d82688a,Design Resonance Mapping,1.000,found_candidate
auth_richard_rudd::human_design_circuitry_the_complete_guide_to_circuits_channels_and_gates,auth_richard_rudd,Richard Rudd,"Human Design: Circuitry — The Complete Guide to Circuits, Channels and Gates",high,A,true,e337cd77184eceaff99d44bf2fd78d68,The Life Force,0.833,found_candidate
auth_richard_rudd::genius_a_guide_to_your_activation_sequence_golden_path_book_1,auth_richard_rudd,Richard Rudd,Genius: A Guide to your Activation Sequence (Golden Path Book 1),medium,B,true,de1826fe36e718026d7f27e22cfa5389,Prosperity: A guide to your Pearl Sequence (3) (Gene Keys Golden Path),0.714,found_candidate
auth_richard_rudd::opening_doors_with_gene_keys_an_introduction_to_the_human_design_system,auth_richard_rudd,Richard Rudd,Opening Doors with Gene Keys: An Introduction to the Human Design System,medium,D,true,74a1fd3ca149168dfabb941635f5bd8c,Opening Doors with Gene Keys,1.000,found_candidate
auth_richard_rudd::the_art_of_contemplation,auth_richard_rudd,Richard Rudd,The Art of Contemplation,low,D,true,,Design Resonance Mapping,0.500,not_found
auth_richard_rudd::k_rper_geist_und_gene,auth_richard_rudd,Richard Rudd,"Körper, Geist und Gene",low,B,true,0f6000a382df606300cf32dada9889a1,Understanding the Planets in our Design,0.600,found_candidate
auth_peter_schoeber::das_human_design_system_die_zentren,auth_peter_schoeber,Peter Schoeber,Das Human Design System – Die Zentren,medium,C,true,4688baa6786530ab2b9f155594a5f359,The Human Design System,1.000,found_candidate
auth_peter_schoeber::human_design_system_the_centres,auth_peter_schoeber,Peter Schoeber,Human Design System – The Centres,medium,C,true,4688baa6786530ab2b9f155594a5f359,The Human Design System,1.000,found_candidate
auth_eleanor_haspel_portner::human_design_health_a_practitioner_s_guide_to_the_basics,auth_eleanor_haspel_portner,Eleanor Haspel-Portner,Human Design & Health: A Practitioner's Guide to the Basics,medium,B,true,c9ac38146181060890f5690d4ab5f0cc,Biology Design System,0.667,found_candidate
auth_eleanor_haspel_portner::the_triple_design_matrix_the_dreamrave_design_system,auth_eleanor_haspel_portner,Eleanor Haspel-Portner,The Triple Design Matrix: The DreamRave Design System,medium,A,true,,DREAMRAVE I: Introduction to Personal Analysis,0.500,not_found
auth_eleanor_haspel_portner::beyond_human_design_turbocharge_your_practice_with_integrated_channels,auth_eleanor_haspel_portner,Eleanor Haspel-Portner,Beyond Human Design: Turbocharge Your Practice with Integrated Channels,low,D,true,,Biology Design System,0.375,not_found
auth_robin_winn::understanding_your_clients_through_human_design,auth_robin_winn,Robin Winn,Understanding Your Clients Through Human Design,medium,C,true,65e4c037d1db12b49e49b567cb6b0a0e,Channels by Type 4,1.000,found_candidate
auth_robin_winn::understanding_the_centers_in_human_design,auth_robin_winn,Robin Winn,Understanding the Centers in Human Design,medium,B,true,262ddb6c289dfc294a497b40c7c37225,The Complete Rave I’Ching ( human design),1.000,found_candidate
auth_robin_winn::understanding_the_profiles_in_human_design,auth_robin_winn,Robin Winn,Understanding the Profiles in Human Design,medium,B,true,b55f87117500f0f1992c87a3b6f9517e,Understanding the profiles in human design 3 3,1.000,found_candidate
auth_zeno_dickson::human_design_revealed_the_definitive_manual_and_complete_reference,auth_zeno_dickson,Zeno Dickson,Human Design Revealed: The Definitive Manual and Complete Reference,medium,A,true,,Scenes From The Cross Of Life: The Nodal Environments(Human design/人類圖/人類設計),0.500,not_found
auth_chaitanyo::chiron_ephemeris_for_the_human_design_system_1901_2150,auth_chaitanyo,Chaitanyo,Chiron Ephemeris for the Human Design System 1901-2150,low,A,true,,The Life Force,0.400,not_found
auth_chaitanyo::zen_human_design_ephemeris_1951_1975,auth_chaitanyo,Chaitanyo,Zen Human Design Ephemeris 1951-1975,low,A,true,b02733dfc6d2112e6dca9dcfdab9efc1,The American Ephemeris 1951-1960_122507299.pdf,0.600,found_candidate
auth_steve_rhodes::the_prophecy_of_ra_uru_hu,auth_steve_rhodes,Steve Rhodes,The Prophecy of Ra Uru Hu,low,D,true,262ddb6c289dfc294a497b40c7c37225,The Complete Rave I’Ching ( human design),1.000,found_candidate
auth_steve_rhodes::bhan_tugh,auth_steve_rhodes,Steve Rhodes,Bhan Tugh,low,D,true,83579f009da452c75e0d56bb34460b4a,Die Prophezeiung Des Ra Uru Hu,1.000,found_candidate
auth_steve_rhodes::human_design_how_to_read_a_graph,auth_steve_rhodes,Steve Rhodes,Human Design: How to Read a Graph,medium,C,true,286cfdd75f96602b940ca81b03458953,286cfdd75f96602b940ca81b03458953.pdf,1.000,found_candidate
auth_emma_dunwoody::human_design_made_simple_unlock_your_strengths_discover_your_true_purpose,auth_emma_dunwoody,Emma Dunwoody,Human Design Made Simple: Unlock Your Strengths & Discover Your True Purpose,medium,B,true,,System Design Interview Made Easy: Discover 8 Simple Case Studies to Learn How to Pass Your System Design Interview Easily,0.444,not_found
auth_emma_dunwoody::human_design_leicht_gemacht,auth_emma_dunwoody,Emma Dunwoody,Human Design leicht gemacht,low,B,true,,The Complete Rave I’Ching ( human design),0.500,not_found
auth_erin_claire_jones::how_do_you_choose_a_human_design_guide_to_work_love_and_life,auth_erin_claire_jones,Erin Claire Jones,"How Do You Choose?: A Human Design Guide to Work, Love and Life",medium,B,true,,Human Rights stories. Tales of Human Rights defenders for primary schools,0.500,not_found
__non_author__::living_your_design_student_manual,__non_author__,IHDS/HDA,Living Your Design Student Manual,medium,C,true,3b88c9681c859d6532d6ea06a3946e25,BG5 Career and Business Consulting,1.000,found_candidate
__non_author__::rave_abcs_student_manual,__non_author__,IHDS/HDA,Rave ABCs Student Manual,medium,C,true,b5a86d4382ccfbdf2e30cfbaf25e5791,Holistic Analysis 2 Diagnostics 2,0.600,found_candidate
__non_author__::rave_cartography_student_manual_v1,__non_author__,IHDS/HDA,Rave Cartography Student Manual V1,medium,C,true,b5a86d4382ccfbdf2e30cfbaf25e5791,Holistic Analysis 2 Diagnostics 2,0.600,found_candidate
__non_author__::ptl1_teacher_manual,__non_author__,IHDS/HDA,PTL1 Teacher Manual,low,C,true,,Holistic Analysis 2 Diagnostics 2,0.500,not_found
