in_registry_query_order,search_term,rows_total,unique_md5,unique_md5_landscape,unique_md5_noise,sample_landscape_titles
36,Chetan Parkyn,50,50,50,0,"The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes | The Advanced Guide to Windows 10 | Shoulder-Belt Plates and Buttons | How to Build a Robot | The Definitive Guide to Android"
37,Chetan Parkyn Human Design,50,50,50,0,"Human Design: Discover the Person You Were Born to Be | The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes (Discover the Person You Were Born To  | Human Design: Entdecke die Person, die du wirklich bist (German Edition) | Le design humain | Self-Help, Relationships & Lifestyle"
38,Book of Lines Parkyn,50,50,50,0,"The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes | The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes (Discover the Person You Were Born To  | The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes (Discover the Person You Were Born To  | The Book of Destinies : Discover the Life You Were Born to Live | The Advanced Guide to Windows 10"
39,Book of Destinies Parkyn,50,50,50,0,"The Book of Destinies : Discover the Life You Were Born to Live | The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes | The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes (Discover the Person You Were Born To  | The Advanced Guide to Windows 10 | Shoulder-Belt Plates and Buttons"
40,Chetan Parkyn The Book of Destinies: Discover the Life You Were Born to Live,50,50,50,0,"The Book of Destinies : Discover the Life You Were Born to Live | Human Design: Discover the Person You Were Born to Be | The Book of Lines: A 21st Century View of the IChing, the Chinese Book of Changes (Discover the Person You Were Born To  | The Life You Were Born to Live: A Guide to Finding Your Life Purpose | newsarch_ebooks_2025_10"
41,Richard Rudd The Gene Keys: Embracing Your Higher Purpose,50,50,50,0,Gene Keys: Unlocking the Higher Purpose Hidden in Your DNA | Gene keys : unlocking the higher purpose hidden in your DNA | The Venus Sequence: Opening your Heart (The Gene Keys Golden Path) | Prosperity: A guide to your Pearl Sequence (3) (Gene Keys Golden Path) | Human Design
42,Jenna Zoë Human Design: The Revolutionary System That Shows You Who You Came Here to Be,50,50,50,0,Хюман дизайн | The courage to be disliked : the Japanese phenomenon that shows you how to change your life and achieve real happiness | Who Knew You Could Do That with RPG IV? A Sorcerer’s Guide to System Access and More | Human Design: Discover the Person You Were Born to Be | Is That You Again?: Adaptive Learning Techniques for User Identification in Smart Pill Bottle Systems
43,Jenna Zoe Human Design,50,50,50,0,"Self-Help, Relationships & Lifestyle | Хюман дизайн | Design, History and Time_ New T | Wildness And Wellbeing: Nature, Neuroscience, And Urban Design | Style A to Zoe : the art of fashion, beauty, and everything glamour"
44,Jenna Zoë,50,50,50,0,Absolument de-bor-dee | PsicologÃ­a general | Christmas Pegasus (A Mate for Christmas Book 3) | Por las grietas de Zoe: Serie Valencia I (Spanish Edition) | 48c4bf46a63c91034615c965dee2ed4d.pdf
45,Human Design Revolutionary System,50,50,50,0,Housekeeping & Leisure | On Stanislavsky's ''system'' | Emancipatory Horizons: The Possibility of a Revolutionary Architectural Practice | China: A Modern Social-Imperialist Power | An Integral Part of the Capitalist-Imperialist System | newsarch_ebooks_2025_10
46,Lynda Bunnell Living Your Design Student Manual,50,50,50,0,"Living your Design | BG5 Career and Business Consulting | A Designer's Research Manual Succeed in Design by Knowing Your Clients and What They Really Need | Minimalist Living: A Guide To Successfully De-Clutter Your Home, Organize Your Life, Eliminate Stress & Embrace Simplici | Fundamentals of Machine Component Design"
47,Robin Winn Understanding Your Clients Through Human Design,50,50,50,0,Understanding Your Clients through Human Design | Understanding Your Clients Through Human Design | Understanding the Centers in Human Design: The Facilitator's Guide to Transforming Pain into Possibility | Understanding the profiles in human design 3 3 | 9781631592621_A_Designers_Research_Manual_8f86.pdf
48,Robin Winn Human Design,50,50,50,0,Understanding the Centers in Human Design: The Facilitator's Guide to Transforming Pain into Possibility | Understanding Your Clients through Human Design | Understanding the profiles in human design 3 3 | Understanding Your Clients Through Human Design | QUANTITATIVE DETERMINATION OF HEMAGGLUTININS FOR NORMAL AND TRYPSINIZED HUMAN RED BLOOD CELLS
49,Understanding Clients Human Design,50,50,50,0,Understanding Your Clients through Human Design | Understanding Your Clients Through Human Design | A Designer's Research Manual Succeed in Design by Knowing Your Clients and What They Really Need | Third Party Authorization of LwM2M Clients: Poster Abstract | Connecting with Grieving Clients: Supportive Communication for 14 Common Situations
50,Understanding Centers Human Design,50,50,50,0,"Understanding the Centers in Human Design: The Facilitator's Guide to Transforming Pain into Possibility | Enterprise Distributed Data Centers SRND | Crisis and Emergency Risk Communication (Manual): Second Edition | Ricas recetas para personas con diabetes y sus familiares | Principles of Epidemiology in Public Health Practice, Third Edition: An Introduction"
51,Robin Winn Understanding the Centers in Human Design,50,50,50,0,Understanding the Centers in Human Design: The Facilitator's Guide to Transforming Pain into Possibility | Understanding the profiles in human design 3 3 | Understanding Your Clients Through Human Design | Understanding Your Clients through Human Design | How Design Researchers Interpret Probes: Understanding the Critical Intentions of a Designerly Approach to Research
52,Steve Rhodes Human Design: How to Read a Graph,50,50,50,0,"Human design : how to read a graph | A Modern Guide to Human Design: How to Read Your Chart and Align With Your Life’s True Purpose | Allan Goldman | How to Read Body Language: Secrets to Analyzing & Speed Reading People Like a Book | How to Analyze People with Dark Psychology: 3 Books in 1: Dark Psychology and Manipulation, How to Read People Like a Bo"
53,Steve Rhodes Human Design,50,50,50,0,"Human design : how to read a graph | Die Prophezeiung Des Ra Uru Hu | Jenkinson, Lloyd R, Rhodes, Darren, 1972-, Simpkin, Paul | [1501105353] [9781501105357] Energy: A Human History-Hardcover | The rs1143679 (R77H) lupus associated variant of ITGAM (CD11b) impairs complement receptor 3 mediated functions in human"
54,Prophecy Ra Uru Hu Rhodes,50,50,50,0,The Prophecy of Ra Uru Hu | Die Prophezeiung Des Ra Uru Hu | Projector Empowerment | Quarters and Angles | Partnership Analysis
55,Bhan Tugh Rhodes,50,50,50,0,"Steve Rhodes [Rhodes, Steve] | Human design : how to read a graph | Rave Cosmology I: Bhan Tugh | Sleep as the great opportunity, or, Psychcoma / by Helen Rhodes-Wallace | The Prophecy of Ra Uru Hu"
56,Peter Schoeber Das Human Design System – Die Zentren,50,50,50,0,"Das Human Design-System | Human Design System | Система на Хюман дизайн | Konzeption, Entwicklung und Einführung des Assistenzsystems D-DAS für die Produktentwicklung elektrischer Motoren | 286cfdd75f96602b940ca81b03458953.pdf"
57,Peter Schoeber,3,3,3,0,Human Design System | Система на Хюман дизайн | Beneath Yggdrasil's Shadow: Forgotten Goddesses of Norse Mythology
58,Peter Schöber,50,50,50,0,Family Constellation and Past Lives | Senior cyber : best security practices for your golden years | Die Geschichte | Geschichte des Reserve-Feldartillerie-Regiments Nr. 22 | Mittheilungen [Mitteilungen] über das Königliche Bad Oeynhausen bei Rehme-Neusalzwerk
59,Human Design System Centres Schoeber,50,50,50,0,Human Design System | Система на Хюман дизайн | Human Design revelation | Human Design | The Historic Centres of Stralsund and Wismar: World Heritage Nomination
60,64keys Human Design,50,50,50,0,64keys: Das Blaue I Ging | Interaction Desing: Beyond Human-Computer Interaction | Human Factors for Ergonomic ITs: Research Notes for Exploration of Human Experience and System Design Impact | Human-Computer Interaction | Architecture
61,Eleanor Haspel-Portner,50,50,50,0,Biology Design System | La saga de los vikingos | Werkstoffanalytische Betrachtung der Eigenschaften von mittels neuartiger RTM-Fertigungsprozesse hergestellten glasfaser | Mit dem Fahrstuhl in die Römerzeit | Mit dem Fahrstuhl in die Römerzeit. Städte und Stätten deutscher Frühgeschichte
62,Beyond Human Design,50,50,50,0,"Interaction Desing: Beyond Human-Computer Interaction | 2022 Quantum Human Design Evolution Guide: Using Solar Transits to Design Your Year | Things We Could Design For More Than Human-Centered Worlds (Design Thinking, Design Theory).pdf | Human-Factors Guidance, Intfc Design | Human Design System"
63,Human Design Health Haspel,50,50,50,0,Biology Design System | Werkstoffanalytische Betrachtung der Eigenschaften von mittels neuartiger RTM-Fertigungsprozesse hergestellten glasfaser | C. elegans: Methods and Applications | Weltkulturerbe und Europäisches Kulturerbe-Siegel in Deutschland : Potentiale und Nominierungsvorschläge | Algorithms and Methods in Structural Bioinformatics (Computational Biology)
64,Triple Design Matrix DreamRave,50,50,50,0,"DREAMRAVE I: Introduction to Personal Analysis | Interface of Ceramic-Matrix Composites: Design, Characterization, and Damage Effects | Design and Development for Highly Permeable Mixed Matrix Membranes (MMMs) for Gas Separation | 549.6R-20: Guide to Design and Construction of Externally Bonded Fabric-Reinforced Cementitious Matrix (FRCM) and Steel- | The design matrix : a consilience of clues"
65,Zeno Dickson Human Design,50,50,50,0,"How to Pass Human Biology for CFE | Human Rights in Northern Ireland : The CAJ Handbook | Migration Law, Policy and Human Rights : The Impact of Crisis in Europe | Move: Sites of Trauma | Interaction Desing: Beyond Human-Computer Interaction"
66,Human Design Revealed Dickson,50,50,50,0,"And All Was Revealed: Ladies Underwear 1907-1980 | The Design Collection Revealed: Adobe InDesign, Photoshop and Illustrator CS6 | The Video Collection Revealed: Adobe Premiere Pro CS5, After Effects CS5, Soundbooth CS5, Encore CS5 | newsarch_ebooks_2025_10 | Adobe InDesign CS2, Photoshop CS2, and Illustrator CS2, Revealed, Deluxe Education Edition (Revealed Series)"
67,Chaitanyo Ephemeris,50,50,50,0,Ephemeris Hisab Rukyat 2021 | e83d5d2d0b8f0728d86c81acfbcde9f0.pdf | Raphael's Astronomical Ephemeris of the Planets' Places for 2007 (Raphael's Astronomical Ephemeris of the Planet's Place | Mansions of the Moon: A Lunar Zodiac for Astrology and Magic 2nd Edition with 2019-2033 Mansion Ephemeris | How to Use an Ephemeris
68,Zen Human Design Ephemeris,50,50,50,0,"Interaction Desing: Beyond Human-Computer Interaction | 2022 Quantum Human Design Evolution Guide: Using Solar Transits to Design Your Year | Things We Could Design For More Than Human-Centered Worlds (Design Thinking, Design Theory).pdf | Human-Factors Guidance, Intfc Design | Human Design System"
69,Chiron Ephemeris Human Design,50,50,50,0,"Interaction Desing: Beyond Human-Computer Interaction | 2022 Quantum Human Design Evolution Guide: Using Solar Transits to Design Your Year | Things We Could Design For More Than Human-Centered Worlds (Design Thinking, Design Theory).pdf | Human-Factors Guidance, Intfc Design | Human Design System"
70,Emma Dunwoody Human Design,50,50,50,0,"Self-Help, Relationships & Lifestyle | The Clinton Clique | Science journalism | Interaction Desing: Beyond Human-Computer Interaction | 2022 Quantum Human Design Evolution Guide: Using Solar Transits to Design Your Year"
71,Human Design Made Simple Dunwoody,50,50,50,0,Off Grid Solar Power Made Simple Everything You Need to Know About How to Design and Install Your Own Solar System | System Design Interview Made Easy: Discover 8 Simple Case Studies to Learn How to Pass Your System Design Interview Easi | Wordpress: Wordpress Made Simple | Fiona Raven | Decorating Made Simple
72,Erin Claire Jones Human Design,50,50,50,0,Geographies of Human Wellbeing | Body As Starting Point 4: Inbodied Interaction Design for Health Ownership. | Sculpture and the Decorative in Britain and Europe: Seventeenth Century to Contemporary | scihub/10.1145/3411764.3445661.pdf | newsarch_ebooks_2025_10
73,How Do You Choose Human Design,50,50,50,0,"You’re Human! Do You Know What That Means? | Understanding depression: What we know and what you can do about it | Human design | Do You Really Need Back Surgery? : A Surgeon's Guide to Neck and Back Pain and How to Choose Your Treatment | How to Make People Do What You Want: Methods of Subtle Psychology to Read People, Persuade, and Influence Human Behavior"
74,Living Your Design Student Manual,50,50,50,0,"BG5 Career and Business Consulting | A Designer's Research Manual Succeed in Design by Knowing Your Clients and What They Really Need | Fundamentals of Machine Component Design | The Complete Photoshop Manual – Expert Tutorials To Improve Your Skills, 7th Edition 2020 | Expression Web 2: Basic, Student Manual"
75,LYD manual IHDS,50,50,50,0,Lunar & Planetary Color Analysis | Personality Resonance Mapping | Lunar & Planetary Color | The Human Design System | Manifestor Manifesto
