"filename","relative_path","system_id","status","pass_k2_struct","pass_k3_rules","pass_k4_meanings","pass_notes"
"Understanding Human Design _ The New Science of Astrology_ -- Karen Curry Parker -- Red Wheel_Weiser, LLC, [San Antonio, TX], 2013 -- Hierophant -- isbn13 9781461937036 -- 5675858164d1a9e48fe49f68430fef62 -- Anna’s Arch.epub","andere/Understanding Human Design _ The New Science of Astrology_ -- Karen Curry Parker -- Red Wheel_Weiser, LLC, [San Antonio, TX], 2013 -- Hierophant -- isbn13 9781461937036 -- 5675858164d1a9e48fe49f68430fef62 -- Anna’s Arch.epub","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Understanding the Centers in Human Design_ The Facilitator's -- Robin Winn -- 2021 -- Difference Press -- a6cfe81a6b3b46e91737d7a7580d7179 -- Anna’s Archive.pdf","andere/Understanding the Centers in Human Design_ The Facilitator's -- Robin Winn -- 2021 -- Difference Press -- a6cfe81a6b3b46e91737d7a7580d7179 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Understanding the profiles in human design 3 3 -- Robin Winn MFT -- 3, 2022 -- Independently Published -- isbn13 9788443150797 -- b55f87117500f0f1992c87a3b6f9517e -- Anna’s Archive.pdf","andere/Understanding the profiles in human design 3 3 -- Robin Winn MFT -- 3, 2022 -- Independently Published -- isbn13 9788443150797 -- b55f87117500f0f1992c87a3b6f9517e -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Understanding Your Clients through Human Design_ The -- Robin Winn -- Washington, DC, 2020 -- Difference Press -- isbn13 9781683092742 -- b4ac5db984c548915998fd96f39f8e27 -- Anna’s Archive.pdf","andere/Understanding Your Clients through Human Design_ The -- Robin Winn -- Washington, DC, 2020 -- Difference Press -- isbn13 9781683092742 -- b4ac5db984c548915998fd96f39f8e27 -- Anna’s Archive.pdf","hd","ok","optional","yes","yes","Nicht-Ra: K3/K4 priorisieren."
"Weiser -- isbn13 9781950253296 -- d49bb8e3d9789def3039c9ab5426dd5b -- Anna’s Archive.pdf","andere/Weiser -- isbn13 9781950253296 -- d49bb8e3d9789def3039c9ab5426dd5b -- Anna’s Archive.pdf","unclassified","manuell_pruefen","manual_first","manual_first","manual_first","Manuell pruefen vor Extraktion."
"I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub","archiv/I Ching, The Oracle of the Cosmic Way -- Moog, Hanna & Anthony, Carol K_ -- 2011 -- ICHINGBOOKS -- 812546694fbc51e0c7103c41c0929d4b -- Anna’s Archive.epub","i_ching","ok","optional","yes","yes","Moog/Anthony I-Ching-Bruecke."
"The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf","archiv/The Complete Rave I'Ching -- Hu, Ra Uru -- US, 2011 -- CreateSpace Independent Publishing Platform -- isbn13 9781463639457 -- 6d435cc45d582500d99b71f9c2811951 -- Anna’s Archive.pdf","hd","ok","yes","yes","yes","Ra-Linie: drei Paesse."
"The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf","archiv/The Complete Rave I’Ching ( human design) -- Ra Uru Hu -- 262ddb6c289dfc294a497b40c7c37225 -- Anna’s Archive.pdf","hd","ok","yes","yes","yes","Ra-Linie: drei Paesse."
"The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub","archiv/The Life Force _ the Channels, an investigation for -- Ra Uru Hu -- c0595584888bbacf1507c36c743b3d88 -- Anna’s Archive.epub","hd","ok","yes","yes","yes","Ra-Linie: drei Paesse."
"Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf","astro/Christian-Astrology-II -- William-Lilly -- c43f8b598f78793682c90fca57a90dca -- Anna’s Archive.pdf","astro","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"Dorotheus, Orpheus, Anubio & Pseudo-Valens_ Teachings on -- Dorotheus, Orpheus, Anubio & Pseudo-Valens, Robert Hand -- 1995 -- 2034771d5968de8d5a332bb062c9be3a -- Anna’s Archive.pdf","astro/Dorotheus, Orpheus, Anubio & Pseudo-Valens_ Teachings on -- Dorotheus, Orpheus, Anubio & Pseudo-Valens, Robert Hand -- 1995 -- 2034771d5968de8d5a332bb062c9be3a -- Anna’s Archive.pdf","astro","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"Planets in Transit_ Life Cycles for Living (The Planet -- Hand, Robert -- 9th print, Rockport, Mass, 1983 -- Para Research -- isbn13 9780914918042 -- 5bfb5d4044ddef736d68344250d12fd4 -- Anna’s Archive.pdf","astro/Planets in Transit_ Life Cycles for Living (The Planet -- Hand, Robert -- 9th print, Rockport, Mass, 1983 -- Para Research -- isbn13 9780914918042 -- 5bfb5d4044ddef736d68344250d12fd4 -- Anna’s Archive.pdf","astro","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The astrology of personality _ a re-formulation of -- Dane Rudhyar -- 1987-12-01 -- Aurora Press, Incorporated -- isbn13 9780943358253 -- 435f03bc08534740b085616654b6a88f -- Anna’s Archive.pdf","astro/The astrology of personality _ a re-formulation of -- Dane Rudhyar -- 1987-12-01 -- Aurora Press, Incorporated -- isbn13 9780943358253 -- 435f03bc08534740b085616654b6a88f -- Anna’s Archive.pdf","astro","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"Claudius Ptolemy - Tetrabiblos, Book I__text - Greek Track -- Claudius Ptolemy, Robert Schmidt, Robert Hand -- Greek Track, 5, 1994 -- Golden Hind -- 4b90a3c04e568adeec9e6fc654355b57 -- Anna’s Archive.pdf","astro/K2/Claudius Ptolemy - Tetrabiblos, Book I__text - Greek Track -- Claudius Ptolemy, Robert Schmidt, Robert Hand -- Greek Track, 5, 1994 -- Golden Hind -- 4b90a3c04e568adeec9e6fc654355b57 -- Anna’s Archive.pdf","astro","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"Tetrabiblos -- Peter J_ Clark -- 2006 -- f09efdc39fdca373cf532497824924b2 -- Anna’s Archive.pdf","astro/K4/Tetrabiblos -- Peter J_ Clark -- 2006 -- f09efdc39fdca373cf532497824924b2 -- Anna’s Archive.pdf","astro","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi - Bazi - The Destiny Code COMBINED Book 1 and Book 2 - -- Joey Yap -- 2nd Edition edition, February 1, 2005 -- Joey Yap Research Group -- isbn13 9789833332014 -- 58c78ecd41275b1fb96c60f0948ad251 -- Anna’s Archive.pdf","bazi/K2+K3/BaZi - Bazi - The Destiny Code COMBINED Book 1 and Book 2 - -- Joey Yap -- 2nd Edition edition, February 1, 2005 -- Joey Yap Research Group -- isbn13 9789833332014 -- 58c78ecd41275b1fb96c60f0948ad251 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"三命通会 上 -- (明)万明英撰;陈明释 -- 2008 -- 北京_中医古籍出版社 -- isbn13 9787801746634 -- 5793f92af01976a8bd9a6c85a6a3e0e2 -- Anna’s Archive.pdf","bazi/K2+K3/三命通会 上 -- (明)万明英撰;陈明释 -- 2008 -- 北京_中医古籍出版社 -- isbn13 9787801746634 -- 5793f92af01976a8bd9a6c85a6a3e0e2 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"三命通会 下 -- （明）万明英撰；陈明释 -- 2008 -- 北京_中医古籍出版社 -- isbn13 9787801746634 -- 2d19933bc416e28fc2e073f91ee6035b -- Anna’s Archive.pdf","bazi/K2+K3/三命通会 下 -- （明）万明英撰；陈明释 -- 2008 -- 北京_中医古籍出版社 -- isbn13 9787801746634 -- 2d19933bc416e28fc2e073f91ee6035b -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"四库存目子平汇刊 1 渊海子平大全 -- 郑同编撰整理, (宋)徐子平撰 , 郑同编, 徐子平, 郑同, [ Song ] Xu Zi Ping, 徐子平, -- 2014, 2014 -- 北京_华龄出版社 -- isbn13 9787516904473 -- 0b74d33ad404cb5051f7ac4a2323f9.pdf","bazi/K2+K3/四库存目子平汇刊 1 渊海子平大全 -- 郑同编撰整理, (宋)徐子平撰 , 郑同编, 徐子平, 郑同, [ Song ] Xu Zi Ping, 徐子平, -- 2014, 2014 -- 北京_华龄出版社 -- isbn13 9787516904473 -- 0b74d33ad404cb5051f7ac4a2323f9.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Power of X_ Analysing the 10 Gods (The Destiny Code, #4) -- Joey Yap -- The Destiny Code;The Power of X, First Edition, 2012 -- Jy Books Sdn_ Bhd_ -- isbn13 9789670310350 -- 02940b74161a9cf4c210d1b81b0de14d -- Anna’s Archive.pdf","bazi/K3/The Power of X_ Analysing the 10 Gods (The Destiny Code, #4) -- Joey Yap -- The Destiny Code;The Power of X, First Edition, 2012 -- Jy Books Sdn_ Bhd_ -- isbn13 9789670310350 -- 02940b74161a9cf4c210d1b81b0de14d -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Power of X_ Enter the 10 Gods (The Destiny Code, #3) -- Joey Yap_ -- The Destiny Code;The Power of X, 1, 2011 -- Jy Books Sdn_ Bhd_ (joey Yap) -- isbn13 9789675395918 -- 11fd708ddfc3e78fdbcc80616b2769d0 -- Anna’s Archive.pdf","bazi/K3/The Power of X_ Enter the 10 Gods (The Destiny Code, #3) -- Joey Yap_ -- The Destiny Code;The Power of X, 1, 2011 -- Jy Books Sdn_ Bhd_ (joey Yap) -- isbn13 9789675395918 -- 11fd708ddfc3e78fdbcc80616b2769d0 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Power of X_ Qualifying the 10 Gods (The Destiny Code, -- Joey Yap -- The Destiny Code;The Power of X, UK ed_, 2012 -- JY Productions Sdn Bhd -- isbn13 9789670310251 -- d37030b094363ad265dee76ca257a081 -- Anna’s Archive.pdf","bazi/K3/The Power of X_ Qualifying the 10 Gods (The Destiny Code, -- Joey Yap -- The Destiny Code;The Power of X, UK ed_, 2012 -- JY Productions Sdn Bhd -- isbn13 9789670310251 -- d37030b094363ad265dee76ca257a081 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"四库存目 子平汇刊 5 穷通宝鉴评注 -- (清)徐乐吾注 -- 四库存目子平汇刊, 2015 -- 北京：华龄出版社 -- isbn13 9787516905128 -- 4f8bd8e25832d5ca180123fc079d9b88 -- Anna’s Archive.pdf","bazi/K3/四库存目 子平汇刊 5 穷通宝鉴评注 -- (清)徐乐吾注 -- 四库存目子平汇刊, 2015 -- 北京：华龄出版社 -- isbn13 9787516905128 -- 4f8bd8e25832d5ca180123fc079d9b88 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Bing (Yang Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- cd8672ce46620ffec72b2d895b71c3e2 -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Bing (Yang Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- cd8672ce46620ffec72b2d895b71c3e2 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Ding (Yin Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- a6d88b587a70d968b2ce3fa05ffa1366 -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Ding (Yin Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- a6d88b587a70d968b2ce3fa05ffa1366 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Geng (Yang Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 81970458e683c785171eb93326a97dfc -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Geng (Yang Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 81970458e683c785171eb93326a97dfc -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Gui (Yin Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5cbd41ee8e2661a8153e57391d46c965 -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Gui (Yin Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5cbd41ee8e2661a8153e57391d46c965 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"Bazi Essentials - The Ten Day Masters - Ji (Yin Earth) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 01fd08ad3c8ae571bc864be8078e9020 -- Anna’s Archive.pdf","bazi/klassisch/K4/Bazi Essentials - The Ten Day Masters - Ji (Yin Earth) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 01fd08ad3c8ae571bc864be8078e9020 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Jia (Yang Wood) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 8f69811f6726c574f8c23aa2554fe02f -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Jia (Yang Wood) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 8f69811f6726c574f8c23aa2554fe02f -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Ren (Yang Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 69c75b12470323cee72c093dd180126d -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Ren (Yang Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 69c75b12470323cee72c093dd180126d -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Wu (Yang Earth) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- c85f43ea9d3faa91186aadda9a63b9df -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Wu (Yang Earth) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- c85f43ea9d3faa91186aadda9a63b9df -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Xin (Yin Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5203332f3bd42d574cda0aab4b7289b6 -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Xin (Yin Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5203332f3bd42d574cda0aab4b7289b6 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"BaZi Essentials - The Ten Day Masters - Yi (Yin Wood) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- b43ef9cba617e134725ea779be855b77 -- Anna’s Archive.pdf","bazi/klassisch/K4/BaZi Essentials - The Ten Day Masters - Yi (Yin Wood) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- b43ef9cba617e134725ea779be855b77 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars - BING Fire -- Joey Yap -- 2018 -- JY Productions Sdn Bhd -- b3d035c1aa6a6d7b803bae802739dd97 -- Anna’s Archive.azw3","bazi/klassisch/K4/The Bazi 60 Pillars - BING Fire -- Joey Yap -- 2018 -- JY Productions Sdn Bhd -- b3d035c1aa6a6d7b803bae802739dd97 -- Anna’s Archive.azw3","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars - Ding_ The Life Analysis Method -- Joey Yap -- 2016 -- JY Productions Sdn Bhd -- b73f785a07189ec8644bd7e9ec86c602 -- Anna’s Archive.pdf","bazi/klassisch/K4/The Bazi 60 Pillars - Ding_ The Life Analysis Method -- Joey Yap -- 2016 -- JY Productions Sdn Bhd -- b73f785a07189ec8644bd7e9ec86c602 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars - JI Earth -- Yap, Joey -- 2018 -- Joey Yap Research Group -- 17f3eed7ae47327b3c44b3361a5f6f33 -- Anna’s Archive(1).epub","bazi/klassisch/K4/The Bazi 60 Pillars - JI Earth -- Yap, Joey -- 2018 -- Joey Yap Research Group -- 17f3eed7ae47327b3c44b3361a5f6f33 -- Anna’s Archive(1).epub","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars - JI Earth -- Yap, Joey -- 2018 -- Joey Yap Research Group -- 17f3eed7ae47327b3c44b3361a5f6f33 -- Anna’s Archive.epub","bazi/klassisch/K4/The Bazi 60 Pillars - JI Earth -- Yap, Joey -- 2018 -- Joey Yap Research Group -- 17f3eed7ae47327b3c44b3361a5f6f33 -- Anna’s Archive.epub","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars - JIA Wood_ The Life Analysis Method -- Joey Yap -- 2018 -- JY Productions Sdn Bhd -- 866fc99a984ae8c0d098670b0f3b11ff -- Anna’s Archive.azw3","bazi/klassisch/K4/The Bazi 60 Pillars - JIA Wood_ The Life Analysis Method -- Joey Yap -- 2018 -- JY Productions Sdn Bhd -- 866fc99a984ae8c0d098670b0f3b11ff -- Anna’s Archive.azw3","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars - REN Water -- Joey Yap -- 2018 -- Joey Yap Research Group -- da050c3cad2161c3f2140321ac1ee43d -- Anna’s Archive.pdf","bazi/klassisch/K4/The Bazi 60 Pillars - REN Water -- Joey Yap -- 2018 -- Joey Yap Research Group -- da050c3cad2161c3f2140321ac1ee43d -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars - Yi_ The Life Analysis Method Revealed -- Joey Yap -- 2016 -- JY Productions Sdn Bhd -- 5f493a40c5e31ccf785661d1d4704899 -- Anna’s Archive.pdf","bazi/klassisch/K4/The Bazi 60 Pillars - Yi_ The Life Analysis Method Revealed -- Joey Yap -- 2016 -- JY Productions Sdn Bhd -- 5f493a40c5e31ccf785661d1d4704899 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars Life Analysis Method - GUI Yin Water -- Joey Yap -- BaZi 60 pillars series, Kuala Lumpur, 2013 -- Joey Yap Research Group -- isbn13 9789670310824 -- e74b93a3e1bed6176c3860df8fe70e4e -- Anna’s Archive.pdf","bazi/klassisch/K4/The Bazi 60 Pillars Life Analysis Method - GUI Yin Water -- Joey Yap -- BaZi 60 pillars series, Kuala Lumpur, 2013 -- Joey Yap Research Group -- isbn13 9789670310824 -- e74b93a3e1bed6176c3860df8fe70e4e -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The BaZi 60 Pillars Life Analysis Method - Wu Earth -- Joey Yap -- 2013 -- e1171a1bc63eac9bf5ac9a462fdb861d -- Anna’s Archive.pdf","bazi/klassisch/K4/The BaZi 60 Pillars Life Analysis Method - Wu Earth -- Joey Yap -- 2013 -- e1171a1bc63eac9bf5ac9a462fdb861d -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars life analysis method _ Wu Yang Earth -- Joey Yap -- BaZi 60 pillars series, Kuala Lumpur, 2013 -- Joey Yap Research Group -- isbn13 9789670310787 -- 5ceb77b073cfa3e68665dc8ee3535be4 -- Anna’s Archive.pdf","bazi/klassisch/K4/The Bazi 60 Pillars life analysis method _ Wu Yang Earth -- Joey Yap -- BaZi 60 pillars series, Kuala Lumpur, 2013 -- Joey Yap Research Group -- isbn13 9789670310787 -- 5ceb77b073cfa3e68665dc8ee3535be4 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"The Bazi 60 Pillars Life Analysis Method_ Zin Metal -- Joey Yap -- 1, 2013 -- JY Books; JY Productions Sdn Bhd -- isbn13 9789670310817 -- 834984fb3f3ba64f1a2157221d9d2ed0 -- Anna’s Archive.pdf","bazi/klassisch/K4/The Bazi 60 Pillars Life Analysis Method_ Zin Metal -- Joey Yap -- 1, 2013 -- JY Books; JY Productions Sdn Bhd -- isbn13 9789670310817 -- 834984fb3f3ba64f1a2157221d9d2ed0 -- Anna’s Archive.pdf","bazi","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
"Anatomy of the Spirit _ The Seven Stages of Power and -- Caroline Myss -- S_I, 2013 -- Crown Publishing Group -- isbn13 9780609800140 -- 18ea53aee64f9cfdb06fdd37ae055c90 -- Anna’s Archive.pdf","chakra/Anatomy of the Spirit _ The Seven Stages of Power and -- Caroline Myss -- S_I, 2013 -- Crown Publishing Group -- isbn13 9780609800140 -- 18ea53aee64f9cfdb06fdd37ae055c90 -- Anna’s Archive.pdf","chakra","ok","yes","yes","optional","K2+K3 priorisieren; K4 optional."
