wave,queue_order,system_id,rolle,status_pipeline,filename,relative_path,pass_k2_struct,pass_k3_rules,pass_k4_meanings,pass_notes
1,6,hd,K2_ref,queued,DREAMRAVE I_ Introduction to Personal Analysis -- Ra Uru Hu -- 2007 -- International Human Design School (IHDS) -- d0874985aa7b29ef71d408f0e6e0c8c5 -- Anna’s Archive.pdf,hd/DREAMRAVE I_ Introduction to Personal Analysis -- Ra Uru Hu -- 2007 -- International Human Design School (IHDS) -- d0874985aa7b29ef71d408f0e6e0c8c5 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,7,hd,K2_ref,queued,Design Concepts -- Ra Uru Hu -- 2006 -- be6b114f074dbfb1cab54ed5061f99b6 -- Anna’s Archive.pdf,hd/Design Concepts -- Ra Uru Hu -- 2006 -- be6b114f074dbfb1cab54ed5061f99b6 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,8,hd,K2_ref,queued,Design Resonance Mapping - The Way of the Flesh -- Ra Uru Hu -- 2009 -- International Human Design School (IHDS) -- d3c91994edc8c417c5d4430e5d82688a -- Anna’s Archive.pdf,hd/Design Resonance Mapping - The Way of the Flesh -- Ra Uru Hu -- 2009 -- International Human Design School (IHDS) -- d3c91994edc8c417c5d4430e5d82688a -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,9,hd,K2_ref,queued,Die Prophezeiung des Ra Uru Hu (German Edition).pdf,hd/Die Prophezeiung des Ra Uru Hu (German Edition).pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,10,hd,K2_ref,queued,Dream Rave Introduction -- Ra Uru Hu -- 80fe85abac05fbb20f06b97c586a444a -- Anna’s Archive.pdf,hd/Dream Rave Introduction -- Ra Uru Hu -- 80fe85abac05fbb20f06b97c586a444a -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,11,hd,K2_ref,queued,From the Left_ Strategic Cognition - Personal and -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 7ae5243edbb37f378567a908ed2d2cd3 -- Anna’s Archive.pdf,hd/From the Left_ Strategic Cognition - Personal and -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 7ae5243edbb37f378567a908ed2d2cd3 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,12,hd,K2_ref,queued,From the Right -- Ra Uru Hu -- Personal and Trans-Personal Analytical Training -- International Human Design School -- 699d2cbe70f0e0d6c3a1cd0bb3779426 -- Anna’s Archive.pdf,hd/From the Right -- Ra Uru Hu -- Personal and Trans-Personal Analytical Training -- International Human Design School -- 699d2cbe70f0e0d6c3a1cd0bb3779426 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,13,hd,K2_ref,queued,"Holistic Analysis 2 Diagnostics 2 -- Ra Uru Hu -- Personal and Trans-Personal Analytical Training, 2, 2010 -- International Human Design School (IHDS) -- b5a86d4382ccfbdf2e30cfbaf25e5791 -- Anna’s Archive.pdf","hd/Holistic Analysis 2 Diagnostics 2 -- Ra Uru Hu -- Personal and Trans-Personal Analytical Training, 2, 2010 -- International Human Design School (IHDS) -- b5a86d4382ccfbdf2e30cfbaf25e5791 -- Anna’s Archive.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,14,hd,K2_ref,queued,How We Connect - eBook -- Ra Uru Hu -- 2024 -- Jovian Archive -- 7b05ec2c4f1a88eef4a6ae61f518a07e -- Anna’s Archive.pdf,hd/How We Connect - eBook -- Ra Uru Hu -- 2024 -- Jovian Archive -- 7b05ec2c4f1a88eef4a6ae61f518a07e -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,15,hd,K2_ref,queued,Human Design - Life Cycles Analysis -- Ra Uru Hu -- 4f0b1309c8e42c5a0580b32b7e3be3e4 -- Anna’s Archive.pdf,hd/Human Design - Life Cycles Analysis -- Ra Uru Hu -- 4f0b1309c8e42c5a0580b32b7e3be3e4 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,16,hd,K2_ref,queued,Human design - You and the Shadow -- Ra Uru Hu -- 2020 -- 9aa3952794bf5b4a60bd4d36d4388f7f -- Anna’s Archive.pdf,hd/Human design - You and the Shadow -- Ra Uru Hu -- 2020 -- 9aa3952794bf5b4a60bd4d36d4388f7f -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,17,hd,K2_ref,queued,Incarnation Crosses by Profile (Complete) -- Ra Uru Hu -- 2012 -- International Human Design School -- 9ce108ffd13761f1e7b7c7dfc4683b07 -- Anna’s Archive.pdf,hd/Incarnation Crosses by Profile (Complete) -- Ra Uru Hu -- 2012 -- International Human Design School -- 9ce108ffd13761f1e7b7c7dfc4683b07 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,18,hd,K2_ref,queued,Lunar & Planetary Color -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 072b03134dbf14640a29f357b4b552e0 -- Anna’s Archive.pdf,hd/Lunar & Planetary Color -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 072b03134dbf14640a29f357b4b552e0 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,19,hd,K2_ref,queued,Lunar & Planetary Color Analysis -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- b38abe08f4f0049d694fde31cee6c7b8 -- Anna’s Archive.pdf,hd/Lunar & Planetary Color Analysis -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- b38abe08f4f0049d694fde31cee6c7b8 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,20,hd,K2_ref,queued,Manifestor Manifesto -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 2dc92019152fa02d0c5a41881fe71baf -- Anna’s Archive.pdf,hd/Manifestor Manifesto -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 2dc92019152fa02d0c5a41881fe71baf -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,21,hd,K2_ref,queued,Never Mind Final -- RA URU HU -- 8ab7f55c3f4d1c28c35f5322e1c450c1 -- Anna’s Archive.pdf,hd/Never Mind Final -- RA URU HU -- 8ab7f55c3f4d1c28c35f5322e1c450c1 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,22,hd,K2_ref,queued,"PRIMARY HEALTH SYSTEM - Determination & Healing (Year 1, Sem 2 -- Ra Uru Hu -- PHS Practitioner Program, 2006 -- 8454b6e1de0d50be5382b728c2536498.pdf","hd/PRIMARY HEALTH SYSTEM - Determination & Healing (Year 1, Sem 2 -- Ra Uru Hu -- PHS Practitioner Program, 2006 -- 8454b6e1de0d50be5382b728c2536498.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,23,hd,K2_ref,queued,"PRIMARY HEALTH SYSTEM - Determination and Healing (Year 1, Sem 3 -- Ra Uru Hu -- PHS Analyst Certification Program, 2008 -- a8920ee4ff8589ccefe7447a83745005.pdf","hd/PRIMARY HEALTH SYSTEM - Determination and Healing (Year 1, Sem 3 -- Ra Uru Hu -- PHS Analyst Certification Program, 2008 -- a8920ee4ff8589ccefe7447a83745005.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,24,hd,K2_ref,queued,"PRIMARY HEALTH SYSTEM - The Mechanics of the Vehicle (Year 1, Sem 1 -- Ra Uru Hu -- PHS Analyst Certification Program, 2006 -- 00f3848700fdc92aa6cb3cb0f9cdfa28.pdf","hd/PRIMARY HEALTH SYSTEM - The Mechanics of the Vehicle (Year 1, Sem 1 -- Ra Uru Hu -- PHS Analyst Certification Program, 2006 -- 00f3848700fdc92aa6cb3cb0f9cdfa28.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,25,hd,K2_ref,queued,Partnership Analysis -- Ra Uru Hu -- International Human Design School -- 0cbcf9ee172cd2944a97a6ee41f80fee -- Anna’s Archive.pdf,hd/Partnership Analysis -- Ra Uru Hu -- International Human Design School -- 0cbcf9ee172cd2944a97a6ee41f80fee -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,26,hd,K2_ref,queued,Personality Resonance Mapping - The Way of the Mind -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- 920f0d94c1ad3ce3c01210b48e8e368d -- Anna’s Archive.pdf,hd/Personality Resonance Mapping - The Way of the Mind -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- 920f0d94c1ad3ce3c01210b48e8e368d -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,27,hd,K2_ref,queued,Post-Graduate Rave Psychology -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- d936287b07b5c89c3a0a9666a0e9aec8 -- Anna’s Archive.pdf,hd/Post-Graduate Rave Psychology -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- d936287b07b5c89c3a0a9666a0e9aec8 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,28,hd,K2_ref,queued,Projector Empowerment - Part 1_ Lectures -- Ra Uru Hu -- Projector Empowerment - Part 1 -- Jovian Archive -- 8e2f39b9ed00432370c0a9a301c42192 -- Anna’s Archive.pdf,hd/Projector Empowerment - Part 1_ Lectures -- Ra Uru Hu -- Projector Empowerment - Part 1 -- Jovian Archive -- 8e2f39b9ed00432370c0a9a301c42192 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,29,hd,K2_ref,queued,Quarters and Angles -- Ra Uru Hu -- International Human Design School -- bb1ced1468705ddbd18f7b7817702c0b -- Anna’s Archive.pdf,hd/Quarters and Angles -- Ra Uru Hu -- International Human Design School -- bb1ced1468705ddbd18f7b7817702c0b -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,30,hd,K2_ref,queued,Radical Transformations - The Four Lectures -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 5bc25cd499d24503c478db7302fd2aae -- Anna’s Archive.pdf,hd/Radical Transformations - The Four Lectures -- Ra Uru Hu -- 2010 -- International Human Design School (IHDS) -- 5bc25cd499d24503c478db7302fd2aae -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,31,hd,K2_ref,queued,"Rave Anatomy I - Mapping the Mechanics of the Maia -- Ra Uru Hu -- Rave Anatomy, 2012 -- International Human Design School -- 096c16f8c017f28e496da10466fd8b47 -- Anna’s Archive.pdf","hd/Rave Anatomy I - Mapping the Mechanics of the Maia -- Ra Uru Hu -- Rave Anatomy, 2012 -- International Human Design School -- 096c16f8c017f28e496da10466fd8b47 -- Anna’s Archive.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,32,hd,K2_ref,queued,"Rave Anatomy II - The Awareness Lectures -- Ra Uru Hu -- Rave Anatomy, 2012 -- International Human Design School -- fc741e103b06d255fe5ffaf80a42ecea -- Anna’s Archive.pdf","hd/Rave Anatomy II - The Awareness Lectures -- Ra Uru Hu -- Rave Anatomy, 2012 -- International Human Design School -- fc741e103b06d255fe5ffaf80a42ecea -- Anna’s Archive.pdf",yes,yes,yes,Ra-Linie: drei Paesse.
1,33,hd,K2_ref,queued,Rave BodyGraph Circuitry -- Ra Uru Hu -- 2012 -- 729f3b4516a4b6caca7cb0b0205432e7 -- Anna’s Archive.pdf,hd/Rave BodyGraph Circuitry -- Ra Uru Hu -- 2012 -- 729f3b4516a4b6caca7cb0b0205432e7 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,34,hd,K2_ref,queued,Rave Cosmology III_ Dying Death and the Bardo Stages -- Ra Uru Hu -- 47f60cd1ca56644008c3cf38d1e9d0a1 -- Anna’s Archive.pdf,hd/Rave Cosmology III_ Dying Death and the Bardo Stages -- Ra Uru Hu -- 47f60cd1ca56644008c3cf38d1e9d0a1 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,35,hd,K2_ref,queued,Rave Cosmology II_ The six mystical ways -- Ra Uru Hu -- 977fa1f53f6aaf90df5be6afc09c3807 -- Anna’s Archive.pdf,hd/Rave Cosmology II_ The six mystical ways -- Ra Uru Hu -- 977fa1f53f6aaf90df5be6afc09c3807 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,36,hd,K2_ref,queued,Rave Cosmology I_ Bhan Tugh -- Ra Uru Hu -- c2d7ffbe32eb56f548305eadd9b23711 -- Anna’s Archive.pdf,hd/Rave Cosmology I_ Bhan Tugh -- Ra Uru Hu -- c2d7ffbe32eb56f548305eadd9b23711 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,37,hd,K2_ref,queued,Rave Cosmology VIII Mystic Monologues -- Ra Uru Hu -- fe799c279b2cc636dfabc384215c309e -- Anna’s Archive.pdf,hd/Rave Cosmology VIII Mystic Monologues -- Ra Uru Hu -- fe799c279b2cc636dfabc384215c309e -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,38,hd,K2_ref,queued,Rave Psychology - Personality External color book (Black -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- cc6cfc6f9f1415d7223a6a3aa26eda49 -- Anna’s Archive.pdf,hd/Rave Psychology - Personality External color book (Black -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- cc6cfc6f9f1415d7223a6a3aa26eda49 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,39,hd,K2_ref,queued,Rave Psychology - Personality External color book (White -- Ra Uru Hu -- International Human Design School (IHDS) -- 0e057eb7191fd94fc132c85cb6eb170b -- Anna’s Archive.pdf,hd/Rave Psychology - Personality External color book (White -- Ra Uru Hu -- International Human Design School (IHDS) -- 0e057eb7191fd94fc132c85cb6eb170b -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,40,hd,K2_ref,queued,Scenes From The Cross Of Life_ The Nodal Environments(Human -- Ra Uru Hu -- 2005 -- 63dd10d18975b7ccd26e6647c2dd8491 -- Anna’s Archive.pdf,hd/Scenes From The Cross Of Life_ The Nodal Environments(Human -- Ra Uru Hu -- 2005 -- 63dd10d18975b7ccd26e6647c2dd8491 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,41,hd,K2_ref,queued,The 36 Roles - Genetic Continuity and Mastery of Lines -- Ra Uru Hu -- 2010 -- 8ef5416367bdef874b16bc5d1c676e7e -- Anna’s Archive.pdf,hd/The 36 Roles - Genetic Continuity and Mastery of Lines -- Ra Uru Hu -- 2010 -- 8ef5416367bdef874b16bc5d1c676e7e -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,42,hd,K2_ref,queued,The Black Book -- Ra Uru Hu -- International Human Design School -- 891d99a7ae3999bd54ad16acc8d30cb7 -- Anna’s Archive.pdf,hd/The Black Book -- Ra Uru Hu -- International Human Design School -- 891d99a7ae3999bd54ad16acc8d30cb7 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,43,hd,K2_ref,queued,The Four Views -- Ra Uru Hu -- 2007 -- Jovian Archive Corporation -- b7345d74e5d85ab9fc4a7f3ed48f8f70 -- Anna’s Archive.pdf,hd/The Four Views -- Ra Uru Hu -- 2007 -- Jovian Archive Corporation -- b7345d74e5d85ab9fc4a7f3ed48f8f70 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,44,hd,K2_ref,queued,The Human Design System - A Complete Guide -- Ra Uru Hu -- 2012 -- International Human Design School (IHDS) -- 0ab49372f4a7e53fa8234071d2936aab -- Anna’s Archive.pdf,hd/The Human Design System - A Complete Guide -- Ra Uru Hu -- 2012 -- International Human Design School (IHDS) -- 0ab49372f4a7e53fa8234071d2936aab -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,45,hd,K2_ref,queued,The Human Design System - Sex Manual -- Ra Uru Hu -- 1996 -- 4688baa6786530ab2b9f155594a5f359 -- Anna’s Archive.pdf,hd/The Human Design System - Sex Manual -- Ra Uru Hu -- 1996 -- 4688baa6786530ab2b9f155594a5f359 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,46,hd,K2_ref,queued,The Incarnation Cross Clinic _ Lectures Day 1 _ Part 1 and 2 -- Ra Uru Hu -- 2022 -- Jovian Archive -- 5c5682e5f4a150394df3073c10571fc9 -- Anna’s Archive.pdf,hd/The Incarnation Cross Clinic _ Lectures Day 1 _ Part 1 and 2 -- Ra Uru Hu -- 2022 -- Jovian Archive -- 5c5682e5f4a150394df3073c10571fc9 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,47,hd,K2_ref,queued,The Not-Self 人類設計) -- Ra Uru Hu -- 2008 -- d85fb70864f5afff46cb0dd7165f5e71 -- Anna’s Archive.pdf,hd/The Not-Self 人類設計) -- Ra Uru Hu -- 2008 -- d85fb70864f5afff46cb0dd7165f5e71 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,48,hd,K2_ref,queued,The Six Lines - The Decoding of the Hexagramm -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- 7cfa3b4fc6f59258346abb4c1771bad5 -- Anna’s Archive.pdf,hd/The Six Lines - The Decoding of the Hexagramm -- Ra Uru Hu -- 2008 -- International Human Design School (IHDS) -- 7cfa3b4fc6f59258346abb4c1771bad5 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,49,hd,K2_ref,queued,Understanding the Planets in our Design - A COURSE IN -- Ra Uru Hu; Richard Rudd -- 2003 -- 0f6000a382df606300cf32dada9889a1 -- Anna’s Archive.pdf,hd/Understanding the Planets in our Design - A COURSE IN -- Ra Uru Hu; Richard Rudd -- 2003 -- 0f6000a382df606300cf32dada9889a1 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,50,hd,K2_ref,queued,from The Book of Letters - A Guide to Human Design Analysis -- Ra Uru Hu -- 1995 -- New Sun Services International -- isbn13 9785057582907 -- d9ba2013e68730383471e4ad6be09790 -- Anna’s Archive.pdf,hd/from The Book of Letters - A Guide to Human Design Analysis -- Ra Uru Hu -- 1995 -- New Sun Services International -- isbn13 9785057582907 -- d9ba2013e68730383471e4ad6be09790 -- Anna’s Archive.pdf,yes,yes,yes,Ra-Linie: drei Paesse.
1,51,hd,K2_ref,queued,"Understanding Your Clients through Human Design_ The -- Robin Winn -- Washington, DC, 2020 -- Difference Press -- isbn13 9781683092742 -- b4ac5db984c548915998fd96f39f8e27 -- Anna’s Archive.pdf","other_hd/Understanding Your Clients through Human Design_ The -- Robin Winn -- Washington, DC, 2020 -- Difference Press -- isbn13 9781683092742 -- b4ac5db984c548915998fd96f39f8e27 -- Anna’s Archive.pdf",optional,yes,yes,Nicht-Ra: K3/K4 priorisieren.
1,52,hd,K2_ref,queued,Understanding the Centers in Human Design_ The Facilitator's -- Robin Winn -- 2021 -- Difference Press -- a6cfe81a6b3b46e91737d7a7580d7179 -- Anna’s Archive.pdf,other_hd/Understanding the Centers in Human Design_ The Facilitator's -- Robin Winn -- 2021 -- Difference Press -- a6cfe81a6b3b46e91737d7a7580d7179 -- Anna’s Archive.pdf,optional,yes,yes,Nicht-Ra: K3/K4 priorisieren.
1,53,hd,K2_ref,queued,"Understanding the profiles in human design 3 3 -- Robin Winn MFT -- 3, 2022 -- Independently Published -- isbn13 9788443150797 -- b55f87117500f0f1992c87a3b6f9517e -- Anna’s Archive.pdf","other_hd/Understanding the profiles in human design 3 3 -- Robin Winn MFT -- 3, 2022 -- Independently Published -- isbn13 9788443150797 -- b55f87117500f0f1992c87a3b6f9517e -- Anna’s Archive.pdf",optional,yes,yes,Nicht-Ra: K3/K4 priorisieren.
1,54,bazi,K2_ref,queued,"BaZi Essentials - The Ten Day Masters - Bing (Yang Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- cd8672ce46620ffec72b2d895b71c3e2 -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Bing (Yang Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- cd8672ce46620ffec72b2d895b71c3e2 -- Anna’s Archive.pdf",yes,yes,optional,K2+K3 priorisieren; K4 optional.
1,55,bazi,K2_ref,queued,"BaZi Essentials - The Ten Day Masters - Ding (Yin Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- a6d88b587a70d968b2ce3fa05ffa1366 -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Ding (Yin Fire) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- a6d88b587a70d968b2ce3fa05ffa1366 -- Anna’s Archive.pdf",yes,yes,optional,K2+K3 priorisieren; K4 optional.
1,56,bazi,K2_ref,queued,"BaZi Essentials - The Ten Day Masters - Geng (Yang Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 81970458e683c785171eb93326a97dfc -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Geng (Yang Metal) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 81970458e683c785171eb93326a97dfc -- Anna’s Archive.pdf",yes,yes,optional,K2+K3 priorisieren; K4 optional.
1,57,bazi,K2_ref,queued,"BaZi Essentials - The Ten Day Masters - Gui (Yin Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5cbd41ee8e2661a8153e57391d46c965 -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Gui (Yin Water) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 5cbd41ee8e2661a8153e57391d46c965 -- Anna’s Archive.pdf",yes,yes,optional,K2+K3 priorisieren; K4 optional.
1,58,bazi,K2_ref,queued,"BaZi Essentials - The Ten Day Masters - Jia (Yang Wood) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 8f69811f6726c574f8c23aa2554fe02f -- Anna’s Archive.pdf","bazi/BaZi Essentials - The Ten Day Masters - Jia (Yang Wood) -- Joey Yap -- BaZi Essentials, 1st, 2009 -- JY Books Sdn_ Bhd_ -- 8f69811f6726c574f8c23aa2554fe02f -- Anna’s Archive.pdf",yes,yes,optional,K2+K3 priorisieren; K4 optional.
